IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
100,3.95,83.3,11.72,69.2,0.34x,1.20x,Standard
200,6.85,166.6,14.15,69.2,0.48x,2.41x,Standard
300,9.74,249.9,17.52,69.2,0.56x,3.61x,Standard
400,15.40,333.2,16.86,69.1,0.91x,4.82x,Standard
500,17.18,416.5,20.18,69.1,0.85x,6.02x,Standard
600,21.19,499.8,22.70,69.1,0.93x,7.23x,Standard
700,26.04,583.1,24.11,69.2,1.08x,8.43x,Nova
800,29.09,666.4,26.57,69.2,1.09x,9.63x,Nova
900,32.32,749.7,28.83,69.2,1.12x,10.84x,Nova
1000,35.46,833.0,31.61,69.1,1.12x,12.05x,Nova
