IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
100,3.79,83.3,11.43,69.2,0.33x,1.20x,Standard
200,6.70,166.6,13.91,69.2,0.48x,2.41x,Standard
300,11.37,249.9,15.33,69.2,0.74x,3.61x,Standard
400,12.66,333.2,19.48,69.1,0.65x,4.82x,Standard
500,18.89,416.5,19.26,69.1,0.98x,6.02x,Standard
600,21.07,499.8,22.54,69.1,0.93x,7.23x,Standard
700,25.57,583.1,24.07,69.2,1.06x,8.43x,Nova
800,27.75,666.4,27.33,69.2,1.02x,9.63x,Nova
900,31.53,749.7,28.83,69.2,1.09x,10.84x,Nova
1000,35.31,833.0,31.08,69.1,1.14x,12.05x,Nova
