IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
100,18.72,83.3,84.93,69.2,0.22x,1.20x,Standard
200,34.67,166.6,118.25,69.2,0.29x,2.41x,Standard
300,53.74,249.9,150.88,69.2,0.36x,3.61x,Standard
400,68.57,333.2,186.83,69.1,0.37x,4.82x,Standard
500,84.81,416.5,219.75,69.1,0.39x,6.02x,Standard
600,103.81,499.8,252.91,69.1,0.41x,7.23x,Standard
700,122.74,583.1,287.97,69.2,0.43x,8.43x,Standard
800,142.06,666.4,320.63,69.2,0.44x,9.63x,Standard
900,159.90,749.7,354.52,69.2,0.45x,10.84x,Standard
1000,175.37,833.0,386.64,69.1,0.45x,12.05x,Standard
