IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
100,3.49,83.3,11.65,69.2,0.30x,1.20x,Standard
200,6.99,166.6,13.78,69.2,0.51x,2.41x,Standard
300,10.84,249.9,15.56,69.2,0.70x,3.61x,Standard
400,15.01,333.2,17.10,69.1,0.88x,4.82x,Standard
500,17.25,416.5,20.95,69.1,0.82x,6.02x,Standard
600,20.93,499.8,22.49,69.1,0.93x,7.23x,Standard
700,24.72,583.1,24.98,69.2,0.99x,8.43x,Standard
800,27.81,666.4,27.43,69.2,1.01x,9.63x,Nova
900,31.39,749.7,28.90,69.2,1.09x,10.84x,Nova
1000,35.43,833.0,31.29,69.1,1.13x,12.05x,Nova
