IoT Readings,Std Prove (s),Std Verify (s),Nova Prove (s),Nova Verify (s)
100,3.1001012325286865,0.6866757074991862,8.311291694641113,2.47389809290568
200,5.3640062014261884,1.3777872721354167,11.535815556844076,2.468417167663574
300,9.26276675860087,2.0699912707010903,12.183087746302286,2.4767533938090005
400,12.357570807139078,2.7466792265574136,14.685511906941732,2.470377206802368
500,14.577122688293457,3.4318339824676514,17.831502040227253,2.470783789952596
600,17.72390055656433,4.118740797042847,20.24191443125407,1.6359293460845947
700,19.87113293011983,4.805243015289307,23.39989948272705,0.8118755022684733
800,22.92359455426534,5.480450471242269,24.844309012095135,1.6267840067545574
900,25.22240900993347,6.178197701772054,27.26021385192871,1.6408979892730713
1000,28.928038438161213,6.844317356745402,28.829666058222454,2.459771712621053
1100,31.340933799743652,7.520418882369995,31.09164039293925,2.456805467605591
1200,34.26401297251383,8.2046639919281,33.554458459218345,1.6384708086649578
1300,37.72961393992106,8.961867570877075,35.318219105402626,1.6545122464497883
1400,40.00307774543762,9.591769377390543,37.78146409988403,2.4694655736287436
1500,42.27861221631368,10.271803140640259,40.64355715115865,2.489466746648153
