IoT Readings,Standard Zeit (s),Standard Größe (KB),Nova Zeit (s),Nova Größe (KB),Zeit Vorteil,Größe Vorteil,Gewinner
100,3.51,83.3,9.59,69.2,0.35x,1.20x,Standard
200,7.04,166.6,9.95,69.1,0.66x,2.41x,Standard
300,10.58,249.9,10.27,69.1,0.92x,3.61x,Standard
400,14.03,333.2,10.70,69.2,1.16x,4.82x,Nova
500,17.54,416.5,11.04,69.1,1.36x,6.02x,Nova
600,20.95,499.8,11.60,69.1,1.55x,7.23x,Nova
700,24.39,583.1,11.99,69.2,1.72x,8.43x,Nova
800,27.82,666.4,12.4,69.1,1.86x,9.64x,Nova
900,31.23,749.7,12.91,69.1,2.01x,10.85x,Nova
1000,34.73,833.0,13.44,69.1,2.13x,12.05x,Nova
1100,38.30,916.3,13.84,69.2,2.25x,13.25x,Nova
1200,41.75,999.6,14.60,69.1,2.36x,14.47x,Nova
1300,45.27,1082.9,15.12,69.1,2.45x,15.66x,Nova
1400,48.69,1166.2,15.78,69.1,2.52x,16.88x,Nova
1500,52.35,1249.5,16.52,69.1,2.61x,18.07x,Nova
